"Chick_ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Entrezid","Human_Symbol","Chick_Symbol","Chick_Entrezid","TF_Status"
"ENSGALG00000000243",606.495294832849,0.266888378491125,0.23796371872429,1.12155071336882,0.262053517523422,0.835288771315295,201299,"RDM1","RDM1",395228,"No"
"ENSGALG00000000244",33.5090559572804,-0.109689722282031,0.635808137214737,-0.172520161133113,0.863028612692596,0.99760185705419,814,"CAMK4","CAMK4",723973,"No"
"ENSGALG00000000247",2105.38023207681,0.372585131541091,0.336052095758693,1.10871241763846,0.267554263271875,0.84013983434123,134430,"WDR36","WDR36",415609,"No"
"ENSGALG00000000249",0.581580343045825,-0.712711299004694,4.98764834318801,-0.1428952584394,0.886372903361344,NA,1444,"CSHL1","GH",378781,"No"
"ENSGALG00000000253",296.871124783462,0.0589430974974705,0.299736549248943,0.196649683347478,0.844101687973795,0.99760185705419,91137,"SLC25A46","SLC25A46",415610,"No"
"ENSGALG00000000255",695.410564617713,-0.304252916111605,0.471189376314561,-0.645712597536344,0.518465500610592,0.974573836860266,4124,"MAN2A1","MAN2A1",415611,"No"
"ENSGALG00000000259",1168.19878109152,0.0854638981825245,0.159082228388618,0.537230959411423,0.591108088501146,0.988865924698863,9491,"PSMF1","PSMF1",430115,"No"
"ENSGALG00000000264",114.413349191356,-0.936675878086734,0.423540177042984,-2.21153961030637,0.0269984920662127,0.287414801919606,9867,"PJA2","PJA2",415612,"No"
"ENSGALG00000000273",284.897961672677,-0.575122541957347,0.388077213632411,-1.4819796724837,0.138345703817639,0.663911456832367,2241,"FER","FER",415614,"No"
"ENSGALG00000000274",13.9139038808311,3.06025747224757,1.6033348638665,1.90868267210734,0.0563030398165449,0.434578897903333,NA,NA,NA,NA,"No"
"ENSGALG00000000275",753.535741310574,0.00330899592363414,0.339442621066098,0.00974832186141351,0.992222087682118,1,54793,"KCTD9","KCTD9",419526,"No"
"ENSGALG00000000276",101.634198178822,-1.08501362437634,0.374650012032047,-2.89607257315002,0.00377865003076741,0.0771801864284346,64839,"FBXL17","FBXL17",415615,"No"
"ENSGALG00000000277",10.5663637644301,-1.46968863553064,1.35156680135007,-1.08739622345161,0.276861739482038,0.848928139937017,2796,"GNRH1","GNRH1",770134,"No"
"ENSGALG00000000280",156.558424856109,0.577905510462482,0.458166904429999,1.26134276586705,0.207185379442403,0.779821333581862,1946,"EFNA5","EFNA5",396100,"No"
"ENSGALG00000000284",133.072195198532,-0.738677188232844,1.57691997662246,-0.468430357395171,0.639476863044318,0.997259583936664,3214,"HOXB4","HOXB4",396230,"Transcription Factor"
"ENSGALG00000000293",1.31837243375901,-3.12706648719335,3.43695938028251,-0.90983515986049,0.362909449050978,NA,5858,"PZP","A2ML4",100858010,"No"
"ENSGALG00000000295",43.0293001389149,-0.0355592439189201,0.733263362397905,-0.0484945051701954,0.961322143530392,1,91156,"IGFN1","IGFN1",771410,"No"
"ENSGALG00000000296",1397.54301650157,-0.195741096602671,0.355870484406786,-0.550034647939288,0.582295609207394,0.986821248168276,22990,"PCNX1","PCNX1",426230,"No"
"ENSGALG00000000299",8.22588471285119,-0.544879828624545,1.17351373219844,-0.464314829621787,0.64242220074304,0.997259583936664,5317,"PKP1","PKP1",421158,"No"
"ENSGALG00000000302",1334.77314835486,-1.91620481225291,1.03044367960936,-1.85959198951985,0.0629432735132267,0.455046851314528,7139,"TNNT2","TNNT2",396433,"No"
"ENSGALG00000000309",53.3660751897956,-0.484720783813332,0.870173569125353,-0.557039194261606,0.577500650576409,0.986821248168276,NA,NA,NA,NA,"No"
"ENSGALG00000000311",150.972769449883,-1.26138959732204,0.536614092142321,-2.35064567962836,0.0187408699845178,0.230730369451007,80005,"DOCK5","DOCK5",419527,"No"
"ENSGALG00000000313",473.581345983681,-2.14935320348318,0.815299917835612,-2.63627305297552,0.00838222501510557,0.135193111590673,7135,"TNNI1","TNNI1",421161,"No"
"ENSGALG00000000314",426.593087703231,0.553691513363814,0.503828206748824,1.09896886666341,0.271781645984912,0.844182821929455,4747,"NEFL","NULL",NA,"No"
"ENSGALG00000000317",1435.57530782421,0.630872430535869,0.395707488069022,1.59428984681187,0.110871130715437,0.601215876612313,NA,NA,NA,NA,"No"
"ENSGALG00000000318",1128.45246034285,-0.775310324053663,0.496029218639773,-1.56303357729559,0.118044697308497,0.618231356604738,1465,"CSRP1","CSRP1",396176,"No"
"ENSGALG00000000329",2035.92691455044,-0.0551855491517186,0.178420810104754,-0.309299958448335,0.757093362574621,0.99760185705419,10768,"AHCYL1","AHCYL1",419803,"No"
"ENSGALG00000000336",743.809556308702,-0.654700506082223,0.256810347211432,-2.54935407856915,0.0107922664810988,0.161137163960967,4660,"PPP1R12B","NULL",NA,"No"
"ENSGALG00000000337",4.7073140184486,-1.16619838506738,1.40099117424623,-0.832409515852108,0.405177832637383,0.931723654920426,404217,"CTXN1","NULL",NA,"No"
"ENSGALG00000000349",3832.86438183146,0.0656070749465322,0.263580342255219,0.248907313744234,0.803432477766904,0.99760185705419,5705,"PSMC5","PSMC5",428274,"No"
"ENSGALG00000000352",2373.6194775198,-0.0162726481190988,0.277499133937298,-0.0586403564155832,0.953238566200624,1,10469,"TIMM44","TIMM44",420053,"No"
"ENSGALG00000000357",2.38486479274098,1.72797033034488,2.43039123782815,0.710984430592762,0.477093883910026,NA,10863,"ADAM28","ADAMDEC1",419529,"No"
"ENSGALG00000000364",233.573941448962,0.0111926862764061,0.787993385540342,0.0142040358228782,0.988667200191262,1,6781,"STC1","STC1",428201,"No"
"ENSGALG00000000365",63.1891744875999,-2.16163675367395,0.805574717705717,-2.68334731237633,0.00728892502219747,0.123243976175544,NA,NA,NA,396037,"Transcription Factor"
"ENSGALG00000000367",98.8138157574495,0.549690878600791,0.549800236660872,0.999801094919957,0.317406775848715,0.879391845075439,40,"ASIC2","ASIC2",419945,"No"
"ENSGALG00000000371",20.3249184146996,0.99782231090211,1.07396751618788,0.929099154175493,0.352837702782542,0.901307563087082,104909134,"LINC02210-CRHR1","CRHR1",374218,"No"
"ENSGALG00000000374",367.58403676291,-1.25374010428465,0.446940474308189,-2.80516126051303,0.00502914116906212,0.0937243474073755,6051,"RNPEP","RNPEP",421165,"No"
"ENSGALG00000000377",10798.5730667007,-0.0939008543477532,0.233717111022538,-0.401771414754045,0.687852261271622,0.99760185705419,4670,"HNRNPM","HNRNPM",420054,"No"
"ENSGALG00000000378",118.201568922796,-0.687666310121044,0.674979141020073,-1.01879638692508,0.308299641386774,0.871408697047259,51312,"SLC25A37","SLC25A37",419530,"No"
"ENSGALG00000000379",2073.46030891372,2.07596334838206,0.342832410529804,6.05532990645172,1.40130174790845e-09,4.99221894795572e-07,NA,"AC068234.1","ITGB3",374209,"No"
"ENSGALG00000000390",543.9186594563,-0.00158781719665387,0.229570728272688,-0.00691646190522961,0.994481505828915,1,9583,"ENTPD4","ENTPD4",419531,"No"
"ENSGALG00000000394",66.0512641174591,-1.66708050673677,0.85193024657914,-1.95682746730828,0.0503677565614168,0.406953408630983,388662,"SLC6A17","SLC6A17",419805,"No"
"ENSGALG00000000396",421.871158116206,-0.291528963945071,0.24733941975166,-1.17865952882795,0.23853377717953,0.809324237566603,339175,"METTL2A","METTL2B",419948,"No"
"ENSGALG00000000397",4364.5304676142,0.137034517296569,0.1476884076505,0.927862379157451,0.353478961409854,0.901307563087082,55705,"IPO9","IPO9",421167,"No"
"ENSGALG00000000399",13.4318200044383,-0.70045698588489,1.13629126738643,-0.616441405464643,0.537603232939115,0.977608246814381,285193,"DUSP28","DUSP28",430912,"No"
"ENSGALG00000000400",264.785805745511,-0.496725542780633,0.354370602958246,-1.40171204562123,0.161001252135799,0.711386842073352,3749,"KCNC4","KCNC4",419806,"No"
"ENSGALG00000000401",313.30053334327,0.334165613803288,0.562801755137161,0.593753681030807,0.552676873179293,0.981787931601375,64783,"RBM15","RBM15",100859595,"No"
"ENSGALG00000000402",396.094139306199,-1.04044614418568,0.325750265999879,-3.19399936940058,0.00140316423832167,0.0373178350118917,4017,"LOXL2","LOXL2",419533,"No"
"ENSGALG00000000404",1442.92528063682,0.0697108977142766,0.177044530105579,0.393747819673983,0.693767232413245,0.99760185705419,9318,"COPS2","COPS2",430917,"No"
"ENSGALG00000000407",891.176424438731,-0.180477075577253,0.25597522315776,-0.705056815073165,0.480774879821111,0.960603857270406,8139,"GAN","LSM7",420055,"No"
"ENSGALG00000000409",2135.1876004226,0.183025188006612,0.167320746120052,1.09385830658018,0.274017127156929,0.847091515799887,91782,"CHMP7","CHMP7",419535,"No"
"ENSGALG00000000410",987.975026012478,0.0217410033038778,0.338653730707968,0.0641983280633804,0.948812308662735,1,11011,"TLK2","TLK2",419949,"No"
"ENSGALG00000000417",28.1444797643376,0.621825244359535,0.573988845323054,1.08334029385111,0.278657406499156,0.850756319481908,9122,"SLC16A4","SLC16A4",419809,"No"
"ENSGALG00000000419",566.73424402434,0.160815418954819,0.387687213362085,0.414807126498195,0.678283102189002,0.99760185705419,10542,"LAMTOR5","LAMTOR5",419811,"No"
"ENSGALG00000000424",2203.08337500529,-0.119555447406569,0.128579202836473,-0.929819479116073,0.352464559026503,0.901307563087082,123920,"CMTM3","CMTM3",414829,"No"
"ENSGALG00000000430",1276.77333126874,-0.0424508063774926,0.301576325502411,-0.140763059921139,0.888057126348349,0.998030013831,56928,"SPPL2B","SPPL2C",420056,"No"
"ENSGALG00000000433",67.975567260348,-0.0706280822660103,0.616120236622425,-0.114633602449408,0.908735544364706,1,NA,NA,NA,NA,"No"
"ENSGALG00000000436",903.221959019632,0.0839270552168389,0.557940517148363,0.150422944090511,0.880430940450337,0.99760185705419,5877,"RABIF","RABIF",421170,"No"
"ENSGALG00000000437",9.30916099807327,-4.17785994569597,1.46168055866079,-2.85825786006471,0.00425974077684186,0.0826316505437995,NA,NA,NA,NA,"No"
"ENSGALG00000000438",299.301810506694,0.416992184079573,0.426430126321421,0.977867552831543,0.3281398348995,0.886506557950362,79956,"ERMP1","ERMP1",426644,"No"
"ENSGALG00000000441",12.9129648617962,-0.406418954054909,1.02634595614516,-0.395986315941043,0.692115123168664,0.99760185705419,3744,"KCNA10","KCNA10",395116,"No"
"ENSGALG00000000442",59.6511495318157,0.355772039067192,0.500174275423066,0.711296155257619,0.47690073359869,0.959594198043665,3737,"KCNA2","KCNA2",395117,"No"
"ENSGALG00000000451",2.62882145955085,1.63913964301402,1.69266885385137,0.968375851711603,0.3328566951404,NA,644890,"MEIG1","MEIG1",769589,"No"
"ENSGALG00000000452",245.065712103132,0.128447543560021,0.950575693397033,0.135126055139274,0.892512210078888,0.999154104547001,NA,NA,NA,NA,"No"
"ENSGALG00000000458",385.985863573508,-0.228840269823424,0.446212174028458,-0.512850798662498,0.608055692444768,0.993491582102552,360200,"TMPRSS9","TMPRSS9",428320,"No"
"ENSGALG00000000461",2697.7407785001,-0.0413744117686796,0.252028239494171,-0.164165777024509,0.869600641529587,0.99760185705419,9902,"MRC2","MRC2",419950,"No"
"ENSGALG00000000466",28.4650886337227,-0.440287239776502,0.755811495707372,-0.58253578078279,0.560205847682596,0.98255601798538,3932,"LCK","LCK",396460,"No"
"ENSGALG00000000469",12.7970185505294,-1.52833779140242,1.16510563314383,-1.31175899242584,0.189601465215497,0.757170189164806,148,"ADRA1A","ADRA1A",428203,"No"
"ENSGALG00000000470",4120.14906632612,-0.296931241677872,0.323973389723646,-0.916529724651642,0.359389124375396,0.904317016476131,84823,"LMNB2","LMNA",396222,"No"
"ENSGALG00000000474",7393.36417476557,0.139821069198405,0.465763674624559,0.300197453807687,0.764026547131114,0.99760185705419,25873,"RPL36","RPL36",373936,"No"
"ENSGALG00000000476",47.9601797738223,-0.806134897059985,0.759000743134973,-1.06210027374984,0.288190165851176,0.857881934774025,80059,"LRRTM4","LRRTM4",419539,"No"
"ENSGALG00000000478",618.018260821361,-0.578033042363023,0.383999232864486,-1.50529738835966,0.132247636345514,0.650369676140267,26115,"TANC2","TANC2",419951,"No"
"ENSGALG00000000497",6.54093394471145,0.101588093202066,0.975051239025303,0.104187440758106,0.917020600551303,1,NA,NA,NA,NA,"No"
"ENSGALG00000000498",393.733702771868,-2.72258935254019,0.548604674667557,-4.96275274028612,6.95010378879818e-07,9.59176936401796e-05,NA,"AC113554.1","ACE",419953,"No"
"ENSGALG00000000504",43.1909874466845,1.2220996982132,0.563679823720976,2.16807422721972,0.0301530394099663,0.308148372729335,51513,"ETV7","ETV7",419813,"Transcription Factor"
"ENSGALG00000000505",302.255681581024,-1.28525023090313,0.340338164523494,-3.77639173291836,0.000159116676079356,0.00705622305501526,81033,"KCNH6","KCNH6",414871,"No"
"ENSGALG00000000507",30.8532629216433,0.812431007277277,0.696809213521745,1.16593034579891,0.243642608623516,0.813312478881776,27132,"CPNE7","CPNE7",415851,"No"
"ENSGALG00000000510",1098.02072218376,-0.156831051287639,0.157738559664742,-0.994246756284377,0.320102750104883,0.881612350229271,10238,"DCAF7","DCAF7",771554,"No"
"ENSGALG00000000511",1551.8196366183,0.0730355769627169,0.16325352065019,0.447375203130922,0.654604176667715,0.99760185705419,222658,"KCTD20","KCTD20",419814,"No"
"ENSGALG00000000513",330.35901843496,0.00413885102767761,0.282721649813005,0.0146393140759297,0.988319934511093,1,92822,"ZNF276","ZNF276",415853,"Transcription Factor"
"ENSGALG00000000516",350.155845462018,0.0736140368205653,0.34557418769812,0.213019488842354,0.831311761637325,0.99760185705419,2175,"FANCA","FANCA",415854,"No"
"ENSGALG00000000518",1391.22568682,0.345434684874411,0.217102100763946,1.5911162704501,0.111583411501786,0.603501683364239,59349,"KLHL12","KLHL12",101748977,"No"
"ENSGALG00000000521",75.1068403883151,2.30342163416703,0.707837244304797,3.2541684584983,0.00113724819704902,0.0325028080794663,84501,"SPIRE2","SPIRE2",415855,"No"
"ENSGALG00000000523",816.981933116641,-0.425212337613189,0.305037763387555,-1.39396621877584,0.163327805987599,0.71527120066439,11329,"STK38","STK38",428260,"No"
"ENSGALG00000000525",784.136803124639,-0.307995898071322,0.280326732833815,-1.09870327013696,0.271897515725565,0.844182821929455,4215,"MAP3K3","MAP3K3",419954,"No"
"ENSGALG00000000528",489.946012501613,1.00723914132354,0.447757487947313,2.24951936804251,0.0244794719940354,0.269590964397288,79007,"DBNDD1","DBNDD1",415857,"No"
"ENSGALG00000000529",1251.07456788336,-1.50273189395415,0.273992825213023,-5.48456658595279,4.14484346812118e-08,8.7913296028191e-06,80774,"LIMD2","LIMD2",419955,"No"
"ENSGALG00000000533",7587.13252776499,-0.0355296393528594,0.206089913239289,-0.17239873021639,0.863124070374799,0.99760185705419,6428,"SRSF3","SRSF3",419815,"No"
"ENSGALG00000000535",784.472132468745,0.495501631500313,0.229936720706052,2.15494780467778,0.0311659189062952,0.314720310959483,54206,"ERRFI1","ERRFI1",419364,"No"
"ENSGALG00000000538",469.396067040208,0.154278937973452,0.189122317530859,0.815762729579908,0.4146358535427,0.936180562876893,140432,"RNF113B","RNF113B",419956,"No"
"ENSGALG00000000540",392.008089864835,0.0157722231598905,0.28067487330175,0.0561939263545474,0.955187319586254,1,2622,"GAS8","GAS8",415858,"No"
"ENSGALG00000000541",1784.99723399018,0.0794834429804947,0.168828934234678,0.470792778150279,0.637788722268294,0.997259583936664,9877,"ZC3H11A","ZC3H11B",421172,"No"
"ENSGALG00000000542",1553.0292436392,0.0186057518898473,0.351994653351043,0.05285805256619,0.95784500684727,1,51042,"ZNF593","ZNF593",419549,"No"
"ENSGALG00000000544",36.5476014107486,-0.053608088129305,0.781815361517978,-0.0685687321687044,0.945332908381621,1,401258,"RAB44","RAB44",100859805,"No"
"ENSGALG00000000545",2.59412711146589,0.757702360569905,1.67480769200057,0.452411559959356,0.650972520654558,NA,5972,"REN","REN",431167,"No"
"ENSGALG00000000549",30.7776233228151,0.253267200766823,0.64302029013769,0.39387124271396,0.693676102739615,0.99760185705419,NA,NA,NA,NA,"No"
"ENSGALG00000000550",1696.79208198698,0.12227719172944,0.183129086090225,0.667710380366316,0.504318482632968,0.972653364731409,92335,"STRADA","STRADA",419957,"No"
"ENSGALG00000000551",465.189231466574,0.300121105543948,0.237653129083476,1.26285358287258,0.206641803921604,0.779307187167663,221477,"C6orf89","C26H6orf89",419817,"No"
"ENSGALG00000000556",1.1071167019271,2.91368838242787,2.76865935646904,1.05238240147527,0.292624139554333,NA,10911,"UTS2","UTS2",404535,"No"
"ENSGALG00000000557",38.2552775894528,-0.204973132452753,0.448144817351161,-0.457381463573055,0.647396885381035,0.99760185705419,55224,"ETNK2","ETNK2",426690,"No"
"ENSGALG00000000558",18.6539577140169,-1.36786894583198,1.04089999895398,-1.31412138265595,0.188805359454589,0.756176931960663,6511,"SLC1A6","SLC1A6",420057,"No"
"ENSGALG00000000560",1.88068445598743,2.36440363635126,2.26092156936342,1.04576986145387,0.295667299146819,NA,NA,NA,NA,NA,"No"
"ENSGALG00000000564",1363.14836461417,0.0509315131442461,0.171420407043537,0.297114643598476,0.766378984939085,0.99760185705419,57003,"CCDC47","CCDC47",419958,"No"
"ENSGALG00000000568",15.3831419082656,1.70658582892299,1.19178798702363,1.43195421291753,0.15215692549954,0.694958837724344,59352,"LGR6","NULL",NA,"No"
"ENSGALG00000000573",650.415404562503,-0.0550589689279712,0.337813510730572,-0.162986284381871,0.8705292337457,0.99760185705419,8863,"PER3","PER3",419366,"No"
"ENSGALG00000000576",186.480861421191,-0.00109448966549928,0.516205722946573,-0.00212025868146479,0.998308279600672,1,51093,"RRNAD1","RRNAD1",768974,"No"
"ENSGALG00000000577",1881.84153208129,-0.0273208414522448,0.165354832432038,-0.16522553983098,0.868766463648357,0.99760185705419,8498,"RANBP3","RANBP3",420058,"No"
"ENSGALG00000000579",796.59799726458,-0.212238176379642,0.277680029935754,-0.76432639548745,0.444672759406125,0.947687311696382,9341,"VAMP3","VAMP3",419368,"No"
"ENSGALG00000000581",2085.79898517777,0.044663458497654,0.170456027153706,0.262023345512913,0.793303443689579,0.99760185705419,11325,"DDX42","DDX42",419959,"No"
"ENSGALG00000000583",1672.61835580244,0.952837725732939,0.320210196917496,2.97566328276061,0.00292355667627985,0.064533090380304,9580,"SOX13","SOX13",419820,"Transcription Factor"
"ENSGALG00000000584",475.723437789733,0.213405192516947,0.439927492685629,0.485091739127668,0.627611271657258,0.996999883670481,NA,NA,NA,NA,"No"
