"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"ENSGALG00000007003",0.607931096502409,1,-54.6680834843553,-56.9233632051991,13,7,1.04953903323485,0,0,0,FALSE
"ENSGALG00000007001",0.181068865046265,0.673809433801413,-151.24116376926,-155.675764100591,13,7,18.3185441439481,0,0,0,FALSE
"ENSGALG00000034713",0.703598395198464,1,-48.2022320208491,-50.1026837606098,13,7,0.853031052078861,0,0,0,FALSE
"ENSGALG00000054481",0.992039197379974,1,-106.236738814544,-106.637380794118,13,7,4.25235288343243,0,0,0,FALSE
"ENSGALG00000050572",0.288943540735103,0.855522893739834,-97.882743509118,-101.562098300401,13,7,3.67403783546595,0,0,0,FALSE
"ENSGALG00000006997",0.268735665591897,0.826831900046193,-239.877472277395,-243.678469387156,13,7,275.291571455932,0,0,0,FALSE
"ENSGALG00000048714",0.84538418417184,1,-41.6465639687634,-42.9968311282399,13,7,0.80624457267312,0,0,0,FALSE
"ENSGALG00000050579",0.943651969706106,1,-39.9561886229058,-40.8156442313555,13,7,0.570599251863758,0,0,0,FALSE
"ENSGALG00000047021",0.891921227786466,1,-38.9630591493134,-40.1045494182023,13,7,0.811719704699892,0,0,0,FALSE
"ENSGALG00000041102",0.0024910951476061,0.0296265075111224,-291.021684241648,-301.150727875208,13,7,1154.87795821176,0,0,0,FALSE
"ENSGALG00000048936",0.165778245051876,0.64085644721439,-281.618106787288,-286.188828690847,13,7,565.041126068506,0,0,0,FALSE
"ENSGALG00000052726",0.718019440893045,1,-181.486421463212,-183.333368309559,13,7,32.6286053809575,0,0,0,FALSE
"ENSGALG00000053670",4.11153224159829e-06,0.000117198499426909,-224.875996077683,-242.428695321548,13,7,117.898071606595,0,0,0,FALSE
"ENSGALG00000006958",0.220929145174417,0.751116729423282,-273.467332902585,-277.58815422196,13,7,664.226539341921,0,0,0,FALSE
"ENSGALG00000047274",0.93772316067213,1,-30.648099110818,-31.5445685147683,13,7,2.54552863830736,0,0,0,FALSE
"ENSGALG00000005099",0.71673818137452,1,-66.611838583626,-68.4635474629415,13,7,1.48835395003665,0,0,0,FALSE
"ENSGALG00000005095",0.248829213470653,0.798071988935363,-261.102449542615,-265.030547768639,13,7,731.122963148567,0,0,0,FALSE
"ENSGALG00000027734",0.00856214291749107,0.0791484848420837,-266.173007022195,-274.774992154476,13,7,1039.55215386983,0,0,0,FALSE
"ENSGALG00000005074",0.598133742655303,1,-221.200425874273,-223.492530068646,13,7,227.003164687176,0,0,0,FALSE
"ENSGALG00000005066",0.240822620561819,0.786218024810067,-272.780587469993,-276.762114219861,13,7,550.582850769205,0,0,0,FALSE
"ENSGALG00000005298",0.589442638405529,1,-218.890722006799,-221.215637357737,13,7,126.256831020634,0,0,0,FALSE
"ENSGALG00000005063",0.507448765220453,1,-265.202345861933,-267.846312743154,13,7,346.327997866298,0,0,0,FALSE
"ENSGALG00000029150",0.186307114448115,0.683897544340596,-269.250416002698,-273.640640821419,13,7,419.996474082606,0,0,0,FALSE
"ENSGALG00000033039",6.17396994487899e-18,1.28781749556123e-15,-278.947716404477,-325.609456934658,13,7,605.500128832837,0,0,0,FALSE
"ENSGALG00000042460",0.996882925594772,1,-295.892373793777,-296.177261451995,13,7,1196.06591620557,0,0,0,FALSE
"ENSGALG00000035576",0.327812007965713,0.910560379325097,-297.071366043536,-300.534009276621,13,7,1532.39326880772,0,0,0,FALSE
"ENSGALG00000005036",0.00655648314741039,0.0644381630840278,-257.74978968864,-266.686490390066,13,7,415.301483413629,0,0,0,FALSE
"ENSGALG00000026424",0.892945391571461,1,-256.232567650021,-257.369126114951,13,7,463.288860480932,0,0,0,FALSE
"ENSGALG00000045436",0.760230783430506,1,-172.088460431357,-173.777055493705,13,7,26.5118523912692,0,0,0,FALSE
"ENSGALG00000004986",0.810408532222498,1,-309.23959955211,-310.733371668469,13,7,1236.13250454555,0,0,0,FALSE
"ENSGALG00000018278",0.311261298371095,0.889049925825236,-58.4044215973409,-61.9568369312671,13,7,1.19889226401582,0,0,0,FALSE
"ENSGALG00000004971",0.556734890194478,1,-318.097477302456,-320.54734837828,13,7,1979.21015687641,0,0,0,FALSE
"ENSGALG00000004965",0.811306598417071,1,-266.100394202194,-267.59057898769,13,7,812.954507029916,0,0,0,FALSE
"ENSGALG00000004927",0.838075928673519,1,-269.097670944513,-270.478648074369,13,7,535.048099527772,0,0,0,FALSE
"ENSGALG00000004920",0.706325159548796,1,-254.500081190278,-256.390430202862,13,7,593.66061527107,0,0,0,FALSE
"ENSGALG00000047230",0.988737659633147,1,-251.188491305164,-251.644364475744,13,7,331.623358539763,0,0,0,FALSE
"ENSGALG00000004881",0.7491198385013,1,-294.821695628077,-296.552313230117,13,7,1641.97986473971,0,0,0,FALSE
"ENSGALG00000004852",0.000246924717896761,0.00414580989423255,-277.589065618118,-290.46831268364,13,7,699.813237495192,0,0,0,FALSE
"ENSGALG00000042325",0.116563080120105,0.518740815895949,-287.543163357993,-292.642094983537,13,7,1690.61926463002,0,0,0,FALSE
"ENSGALG00000004783",0.230965664343975,0.76858506546897,-261.614765510316,-265.664083805269,13,7,752.917463371269,0,0,0,FALSE
"ENSGALG00000033760",0.208371813055622,0.730152441083003,-301.240187948388,-305.454350186002,13,7,1410.6055532572,0,0,0,FALSE
"ENSGALG00000004767",0.521356328919682,1,-292.237783619937,-294.826140902003,13,7,1609.40260445622,0,0,0,FALSE
"ENSGALG00000004738",0.491062722490891,1,-298.654905986119,-301.365377972004,13,7,1302.67016887213,0,0,0,FALSE
"ENSGALG00000004719",0.120112373876298,0.528828504799297,-348.692415353477,-353.747207807961,13,7,6044.99467288712,0,0,0,FALSE
"ENSGALG00000004702",0.879768148944043,1,-242.857300165144,-244.056003605287,13,7,258.119715945593,0,0,0,FALSE
"ENSGALG00000051963",0.106371985856369,0.488088848145295,-142.411814573863,-147.644516983795,13,7,14.4510967224724,0,0,0,FALSE
"ENSGALG00000004701",0.35440283243546,0.937145744829338,-391.035676330977,-394.3608153848,13,7,17177.7404776811,0,0,0,FALSE
"ENSGALG00000004689",0.19522756157143,0.704679288815443,-260.279584267787,-264.596618891509,13,7,557.259804549547,0,0,0,FALSE
"ENSGALG00000050757",8.9250367307974e-05,0.00171627875528241,-210.531815909366,-224.591126441984,13,7,140.177835282065,0,0,0,FALSE
"ENSGALG00000004659",0.957101062741336,1,-267.08762079835,-267.855374984735,13,7,448.974820715481,0,0,0,FALSE
"ENSGALG00000004645",0.859061361667596,1,-235.269497144225,-236.561014970908,13,7,302.245801362994,0,0,0,FALSE
"ENSGALG00000026221",0.743815307220445,1,-274.498249351856,-276.248829535255,13,7,572.540934097094,0,0,0,FALSE
"ENSGALG00000004622",0.341728923154768,0.925157093836316,-270.68944754405,-274.079157984275,13,7,898.338232129329,0,0,0,FALSE
"ENSGALG00000004604",0.372206012683139,0.957107025608209,-220.38329656646,-223.620439425348,13,7,138.01666512459,0,0,0,FALSE
"ENSGALG00000004573",0.940263214558608,1,-269.363018671978,-270.243843889711,13,7,684.440924262375,0,0,0,FALSE
"ENSGALG00000043394",0.902980190019104,1,-313.052343990477,-314.139545385074,13,7,2779.84410534696,0,0,0,FALSE
"ENSGALG00000026007",0.991315299235403,1,-220.554573015807,-220.968334681639,13,7,136.464539946078,0,0,0,FALSE
"ENSGALG00000039541",0.233955544448925,0.774898524767317,-202.461260345533,-206.489770578064,13,7,105.702509288313,0,0,0,FALSE
"ENSGALG00000032342",0.942599504020923,1,-219.3156588975,-220.181815269438,13,7,148.276031312595,0,0,0,FALSE
"ENSGALG00000039791",0.827561283724313,1,-228.144261696762,-229.568700550887,13,7,343.953348334337,0,0,0,FALSE
"ENSGALG00000037443",0.989357689831867,1,-227.698172014046,-228.144477203494,13,7,133.004911107012,0,0,0,FALSE
"ENSGALG00000036965",0.0198014541082067,0.152577045344852,-297.093452082586,-304.623037756177,13,7,1620.08437732881,0,0,0,FALSE
"ENSGALG00000053552",0.800971895489807,1,-382.969833360437,-384.501046477301,13,7,5476.64169660397,0,0,0,FALSE
"ENSGALG00000035624",0.00592611703304839,0.0594623967153073,-100.044473732898,-109.107220122813,13,7,5.76552659971902,0,0,0,FALSE
"ENSGALG00000050839",0.78330707503795,1,-75.5000320926431,-77.1002310401019,13,7,1.84809513389983,0,0,0,FALSE
"ENSGALG00000030592",0.35491604088423,0.938083095539267,-169.760549453153,-173.083108799052,13,7,25.931498802004,0,0,0,FALSE
